Method,Name,Error,Occurrences
MYSQL,UPDATE stock,"OperationalError(3101, 'Plugin instructed the server to rollback the current transaction.')",38
MYSQL,SELECT producto,"OperationalError(2013, 'Lost connection to MySQL server during query')",1
