Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
MYSQL,SELECT clientes,989,0,0.2152070082956925,0.6114682680877779,0.2152070082956925,9.113674008403905,9.0,16.66246555892662,0.0,0,1,1,1,1,1,2,4,9,9,9
MYSQL,SELECT conteo,462,0,0.19316599355079234,0.5431525432592907,0.19316599355079234,8.522377000190318,1.0,7.783679563421737,0.0,0,0,1,1,1,1,1,3,9,9,9
MYSQL,SELECT pagos,480,0,0.2213179977843538,0.5128425311037669,0.2213179977843538,7.743334004771896,1.0,8.086939806152454,0.0,0,0,1,1,1,1,1,3,8,8,8
MYSQL,SELECT pedidos,1049,0,1,0.6470972236185499,0.18160899344366044,17.864058987470344,2.0,17.673333034695677,0.0,1,1,1,1,1,1,3,4,11,18,18
MYSQL,SELECT producto,1530,0,0.2143909950973466,0.5788518175512425,0.2143909950973466,17.69198199326638,1.0,25.777120632110947,0.0,0,1,1,1,1,1,2,3,10,18,18
,Aggregated,4510,0,0.18160899344366044,0.5911954047635638,0.18160899344366044,17.864058987470344,2.9869179600886917,75.98353859530744,0.0,0,1,1,1,1,1,2,3,9,18,18
