Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
MYSQL,SELECT clientes,545,0,69,71.83202902939696,0.9145660005742684,773.4668599950965,9.0,9.20243086662256,0.0,69,72,74,77,93,150,290,620,770,770,770
MYSQL,SELECT conteo,279,0,69,71.28508707153671,0.8229339946410619,796.2049580019084,1.0,4.710969195940723,0.0,69,71,74,77,89,150,240,390,800,800,800
MYSQL,SELECT pedidos,564,0,70,69.01387679428795,0.920501996006351,888.5226740021608,2.0,9.523249557385547,0.0,70,72,74,76,91,140,270,310,890,890,890
MYSQL,SELECT producto,839,2,69,70.64546267451364,0.8780390053289011,788.6416090041166,0.9976162097735399,14.166677976323536,0.03377038850136719,69,72,74,78,96,160,300,430,790,790,790
MYSQL,UPDATE stock,266,39,250.0,381.2981305150573,67.09890899946913,6160.35390199977,0.0,4.491461670681836,0.6585225757766602,250,320,390,460,650,900,2300,3000,6200,6200,6200
,Aggregated,2493,41,70,103.75357702642627,0.8229339946410619,6160.35390199977,2.8676293622142,42.0947892669542,0.6922929642780274,70,73,80,89,210,320,570,770,3000,6200,6200
